unique_id,name,theme,entity,type,investment ,lga,feature_type,lat,long,description
I_0509,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Merri-bek,LGA,-37.70618478,144.9161376,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Glenroy."
I_0510,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Golden Plains,LGA,-37.86559885,143.8193982,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Golden Plains."
I_0511,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Casey,LGA,-38.00604364,145.2723442,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Hallam."
I_0512,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Casey,LGA,-38.05105043,145.255334,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Hampton Park-Lynbrook."
I_0513,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Banyule,LGA,-37.74159943,145.0422356,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Heidelberg West."
I_0514,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Brimbank,LGA,-37.73334772,144.7658056,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Kings Park."
I_0515,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Whittlesea,LGA,-37.66542121,145.0163525,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Lalor."
I_0516,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Loddon,LGA,-36.30098105,143.8032022,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Loddon."
I_0517,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Central Goldfields,LGA,-37.04836282,143.7363608,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Maryborough."
I_0518,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Melton,LGA,-37.70267585,144.5748148,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Melton South."
I_0519,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Mildura,LGA,-34.20503481,142.1384073,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Mildura."
I_0520,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Dandenong,LGA,-37.96503936,145.1733009,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Noble Park East."
I_0521,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Moira,LGA,-36.08577722,145.4398208,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Numurkah."
I_0522,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Geelong,LGA,-38.11562165,144.6579517,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portarlington."
I_0523,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Glenelg,LGA,-38.36110991,141.6049159,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portland."
I_0524,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Darebin,LGA,-37.71674992,145.0076339,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Reservoir."
I_0525,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Campaspe,LGA,-36.3592806,144.7013814,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Rochester."
I_0526,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Melton,LGA,-37.7338795,144.6667228,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Rockbank-Mount Cottrell."
I_0527,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Mitchell,LGA,-37.02441307,145.1354429,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Seymour."
I_0528,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Shepparton,LGA,-36.38237128,145.4047938,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Shepparton."
I_0529,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Wyndham,LGA,-37.8996655,144.6630277,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Werribee."
I_0530,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Latrobe,LGA,-38.15982439,146.3613153,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Yallourn North-Glengarry."
I_0531,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Greater Bendigo,LGA,-36.68316415,144.2601925,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Eaglehawk North Primary School early learning centre."
I_0532,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Merri-bek,LGA,-37.69578822,144.9667048,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Moomba Park Primary School early learning centre."
I_0533,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Yarriambiack,LGA,-36.62296412,142.4752779,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Murtoa College early learning centre."
I_0534,"Best Start, Best Life: Infrastructure ",Education,Department of Education,Early Learning Centres,$991 million*,Brimbank,LGA,-37.79058208,144.8311505,"Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Sunshine Primary School early learning centre."
I_0082,Activating Tarago Reservoir for on-water recreation ,Regional Investment ,"Department of Energy, Environment and Climate Action",Effective Water Management and Supply ,$8 million,Baw Baw,Point,-37.99969,145.92415,"Funding is provided for the construction of additional UV water treatment capacity at the Tarago, Neerim South and Warragul treatment plants to enable the Tarago Reservoir to open to recreational angling and boating."
I_0095,Doing what matters for local communities – renewable energy ,Clean Energy,"Department of Energy, Environment and Climate Action",Energy and Resources,"$100,000",East Gippsland,LGA,-36.95796619,147.7134774,Funding is provided to deliver renewable energy solutions in Benambra to support the local community with access to clean and local energy alternatives.
I_0101,"Protecting our parks, pets and wildlife – animal welfare ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Environment and Biodiversity,$7.2 million,Hepburn,LGA,-37.30904268,144.1315886,Funding is provided for a package of wildlife welfare and conservation programs.
I_0107,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Melbourne,LGA,-37.82367784,144.9623727,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0108,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Darebin,Point,-37.77700245,144.9936703,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0109,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Latrobe,Point,-38.30190654,146.4247958,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0110,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Whittlesea,Point,-37.63673195,145.0687086,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0111,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Whittlesea,LGA,-37.586595,145.128214,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0112,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Banyule,Point,-37.70581349,145.0998818,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0113,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Hobsons Bay,LGA,-37.81743029,144.8470261,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0114,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Greater Dandenong,Point,-37.97478135,145.1538223,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0115,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Kingston,LGA,-37.96554245,145.0578569,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0116,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Mornington Peninsula,Point,-38.36245111,144.8761767,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0117,Delivering better parks and playgrounds,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$7.4 million*,Yarra,Point,-37.79538529,145.0067726,"Funding is provided for upgrades at the following parks, open spaces and facilities."
I_0119,"Protecting our parks, pets and wildlife – dog parks ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$13.4 million*,Greater Geelong,LGA,-38.24018515,144.3515771,Funding is provided to build new dog parks.
I_0120,"Protecting our parks, pets and wildlife – dog parks ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$13.4 million*,Whittlesea,LGA,-37.60802151,145.0310182,Funding is provided to build new dog parks.
I_0121,"Protecting our parks, pets and wildlife – dog parks ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$13.4 million*,Brimbank,LGA,-37.70142101,144.7647159,Funding is provided to build new dog parks.
I_0122,"Protecting our parks, pets and wildlife – dog parks ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$13.4 million*,Casey,LGA,-37.9749566,145.2578234,Funding is provided to build new dog parks.
I_0123,"Protecting our parks, pets and wildlife – dog parks ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$13.4 million*,Monash,LGA,-37.8746563,145.1286219,Funding is provided to build new dog parks.
I_0124,"Protecting our parks, pets and wildlife – dog parks ",Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$13.4 million*,Knox,Point,-37.85763786,145.2114373,Funding is provided to build new dog parks.
I_0126,Doing what matters for local communities – environment,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,"$700,000*",Indigo,LGA,-36.25855008,147.0062528,Funding is provided to the Kiewa Catchment Landcare Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
I_0623,Doing what matters for local communities – environment,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,"$700,000*",Colac Otway,LGA,-38.79143009,143.5636582,Funding is provided to support the Southern Otway Landcare Network Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
I_0624,Doing what matters for local communities – environment,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,"$700,000*",Wodonga,LGA,-36.13684862,146.908809,"Funding is provided to support Parklands Albury Wodonga for conservation work along the Murray and Kiewa Rivers and to maintain the local bush parks, hills and rivers."
I_0625,Doing what matters for local communities – environment,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,"$700,000*",Surf Coast,Point,-38.24493961,144.174729,"Funding is provided to deliver upgrades to the Moriac Greenfields Reserve, improving green spaces for families in South Barwon."
I_0129,Zoos Victoria Kids Free Policy,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$10.2 million*,Melbourne,Point,-37.78395626,144.9519806,"Funding is provided to continue to allow children under 16 years of age to enjoy free access to Melbourne Zoo, Healesville Sanctuary and Werribee Open Range Zoo on weekends, public holidays and during school holidays."
I_0130,Zoos Victoria Kids Free Policy,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$10.2 million*,Yarra Ranges,Point,-37.68195454,145.5320054,"Funding is provided to continue to allow children under 16 years of age to enjoy free access to Melbourne Zoo, Healesville Sanctuary and Werribee Open Range Zoo on weekends, public holidays and during school holidays."
I_0131,Zoos Victoria Kids Free Policy,Environment and Parkland,"Department of Energy, Environment and Climate Action",Management of Public Land and Forests,$10.2 million*,Wyndham,Point,-37.92250008,144.6674162,"Funding is provided to continue to allow children under 16 years of age to enjoy free access to Melbourne Zoo, Healesville Sanctuary and Werribee Open Range Zoo on weekends, public holidays and during school holidays."
I_0136,Investing in Serendip Sanctuary and the You Yangs (Wurdi Youang) ,Environment and Parkland,"Department of Energy, Environment and Climate Action",Parks Victoria,$10.9 million*,Greater Geelong,Point,-37.96244283,144.4111052,Funding is provided to upgrade visitor facilities and infrastructure to enhance and protect the natural and cultural precinct.
I_0137,Investing in Serendip Sanctuary and the You Yangs (Wurdi Youang) ,Environment and Parkland,"Department of Energy, Environment and Climate Action",Parks Victoria,$10.9 million*,Greater Geelong,Point,-38.00443158,144.4167593,Funding is provided to upgrade visitor facilities and infrastructure to enhance and protect the natural and cultural precinct.
I_0496,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Darebin,Point,-37.78369369,145.0052207,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 1 Holmes Street (Frank Wilkes Court), Northcote."
I_0471,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Hobsons Bay,Point,-37.86664744,144.9042212,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 63 Hamner Street (Floyd Lodge), Williamstown."
I_0472,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Melbourne,Point,-37.79139171,144.9418812,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 159 Melrose Street, North Melbourne."
I_0488,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Maribyrnong,Point,-37.79528744,144.889196,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 127 Gordon Street (Gaskin Gardens), Footscray."
I_0481,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Melbourne,Point,-37.7944864,144.9699848,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 478 Drummond Street, Carlton (140 Neill Street)."
I_0605,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Melbourne,Point,-37.79527462,144.9683348,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 480 Lygon Street, Carlton."
I_0606,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Melbourne,Point,-37.79402345,144.9685514,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 530 Lygon Street, Carlton."
I_0482,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Melbourne,Point,-37.79463973,144.9688297,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 510 Lygon Street, Carlton."
I_0486,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Moonee Valley,Point,-37.78638797,144.9225368,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 29 Crown Street, Flemington."
I_0607,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Moonee Valley,Point,-37.78679014,144.9370071,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 126 Racecourse Road, Flemington."
I_0608,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Moonee Valley,Point,-37.78753359,144.9357553,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 130 Racecourse Road, Flemington."
I_0609,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Moonee Valley,Point,-37.78834297,144.9367757,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 120 Racecourse Road, Flemington."
I_0487,Cooling our public housing towers,Public Housing,"Department of Families, Fairness and Housing",Housing Assistance,$141.4 million*,Moonee Valley,Point,-37.78814512,144.9346098,"Funding is provided to install air conditioners in Victoria’s public housing high-rise tower dwellings which are home to over 13,000 Victorians across more than 40 towers. This includes 12 Holland Court, Flemington."
