Region,investment,type,entity,theme,name,description
N AND W METRO,36400000,Bus Services,Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Eynesbury to Melton."
GRAMPIANS,36400000,Bus Services,Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Maddingly."
S METRO,36400000,Bus Services,Transport and Planning,Public Transport,Delivering Victoria's Bus Plan,"Funding is provided to deliver Victoria’s Bus Plan, including maintaining and improving bus networks. This includes Berwick to Clyde North."
N AND W METRO,46800000,Ports and Freight,Transport and Planning,Strong Communities,"More piers, jetties and opportunities","Funding is provided to undertake critical works on Workshops Pier and to rebuild Dromana Pier, St Leonards Pier and Warneet Jetties."
N AND W METRO,61600000,Road Operations,Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the shared user path between Montmorency Station and Eltham Station."
E METRO,61600000,Road Operations,Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes safer and better shared user paths in Ashwood."
S METRO,61600000,Road Operations,Transport and Planning,Roads,Delivering Better Local Roads  ,"Funding is provided to deliver a package of local road safety upgrades for motorists, pedestrians and cyclists. This includes the installation of pedestrian operated signals at Fletcher Road, Frankston."
N AND W METRO,694000000,Road Operations,Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Point Cook Road Intersection Upgrade in Point Cook."
S METRO,694000000,Road Operations,Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Thompsons Road Intersection Upgrade in Clyde North."
GRAMPIANS,694000000,Road Operations,Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Grant Street Intersection Upgrade in Bacchus Marsh."
BARWON SW,694000000,Road Operations,Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Barwon Heads Road Upgrade – Stage 2 in Armstrong Creek."
HUME,694000000,Road Operations,Transport and Planning,Roads,Road blitz to get families home sooner and safer,"Funding is provided to upgrade key roads and intersections in our major growth areas and regions in order to improve network efficiency, travel times and road safety. This includes the Watson Street Interchange Upgrade in Wallan."
N AND W METRO,650000000,Transport Infrastructure,Transport and Planning,Public Transport,Melton Line Upgrade,Funding is provided to upgrade the Melton Line to facilitate the operation of longer trains in the western rail corridor delivering better trains services and increasing train capacity.
N AND W METRO,618000000,New schools construction,Education,Education,Point Cook South Specialist School (Interim Name),Funding is provided for planning and early works for three new schools to open in 2026.
S METRO,618000000,New schools construction,Education,Education,Casey Central Primary School (Interim Name),Funding is provided for planning and early works for three new schools to open in 2026.
